date,volume
2016-01-01,1341
2016-01-02,2179
2016-01-03,4393
2016-01-04,3302
2016-01-05,2995
2016-01-06,1822
2016-01-07,1637
2016-01-08,1362
2016-01-09,1594
2016-01-10,2386
2016-01-11,1807
2016-01-12,1938
2016-01-13,1655
2016-01-14,1412
2016-01-15,1336
2016-01-16,1553
2016-01-17,2601
2016-01-18,1971
2016-01-19,1906
2016-01-20,1975
2016-01-21,1561
2016-01-22,1450
2016-01-23,1505
2016-01-24,3086
2016-01-25,2119
2016-01-26,2006
2016-01-27,2369
2016-01-28,1830
2016-01-29,2007
2016-01-30,2713
2016-01-31,4873
2016-02-01,2694
2016-02-02,1378
2016-02-03,1375
2016-02-04,1202
2016-02-05,1039
2016-02-06,1003
2016-02-07,1763
2016-02-08,1574
2016-02-09,1716
2016-02-10,1580
2016-02-11,1741
2016-02-12,2007
2016-02-13,1662
2016-02-14,3325
2016-02-15,2274
2016-02-16,1836
2016-02-17,1989
2016-02-18,1635
2016-02-19,1633
2016-02-20,1877
2016-02-21,3227
2016-02-22,2685
2016-02-23,2664
2016-02-24,2369
2016-02-25,2624
2016-02-26,2571
2016-02-27,3075
2016-02-28,5920
2016-02-29,5582
2016-03-01,1677
2016-03-02,1186
2016-03-03,1290
2016-03-04,1194
2016-03-05,1153
2016-03-06,1969
2016-03-07,1484
2016-03-08,1296
2016-03-09,1268
2016-03-10,1177
2016-03-11,1002
2016-03-12,903
2016-03-13,1745
2016-03-14,1529
2016-03-15,1473
2016-03-16,1392
2016-03-17,1240
2016-03-18,1249
2016-03-19,1441
2016-03-20,2672
2016-03-21,2476
2016-03-22,1896
2016-03-23,1223
2016-03-24,893
2016-03-25,1127
2016-03-26,924
2016-03-27,1317
2016-03-28,2523
2016-03-29,1723
2016-03-30,1850
2016-03-31,1442
2016-04-01,866
2016-04-02,702
2016-04-03,1152
2016-04-04,1277
2016-04-05,1839
2016-04-06,1652
2016-04-07,1461
2016-04-08,1482
2016-04-09,1258
2016-04-10,1719
2016-04-11,1538
2016-04-12,1459
2016-04-13,1650
2016-04-14,1080
2016-04-15,1386
2016-04-16,1414
2016-04-17,2394
2016-04-18,1872
2016-04-19,1669
2016-04-20,1541
2016-04-21,1328
2016-04-22,1342
2016-04-23,1687
2016-04-24,3227
2016-04-25,2981
2016-04-26,2770
2016-04-27,2397
2016-04-28,2074
2016-04-29,1834
2016-04-30,1872
2016-05-01,2361
2016-05-02,2110
2016-05-03,2008
2016-05-04,1382
2016-05-05,1251
2016-05-06,1066
2016-05-07,871
2016-05-08,1352
2016-05-09,1408
2016-05-10,1655
2016-05-11,1408
2016-05-12,1212
2016-05-13,1116
2016-05-14,1198
2016-05-15,2233
2016-05-16,3237
2016-05-17,2204
2016-05-18,2083
2016-05-19,1967
2016-05-20,2196
2016-05-21,1780
2016-05-22,4360
2016-05-23,3400
2016-05-24,2682
2016-05-25,2507
2016-05-26,2109
2016-05-27,2073
2016-05-28,1727
2016-05-29,4760
2016-05-30,5068
2016-05-31,4802
2016-06-01,4248
2016-06-02,2103
2016-06-03,1421
2016-06-04,1029
2016-06-05,1671
2016-06-06,1806
2016-06-07,1881
2016-06-08,1974
2016-06-09,1550
2016-06-10,1451
2016-06-11,1553
2016-06-12,3264
2016-06-13,3496
2016-06-14,2986
2016-06-15,2448
2016-06-16,1597
2016-06-17,1789
2016-06-18,1533
2016-06-19,1918
2016-06-20,2526
2016-06-21,2471
2016-06-22,1946
2016-06-23,1887
2016-06-24,1539
2016-06-25,1551
2016-06-26,2825
2016-06-27,3528
2016-06-28,2196
2016-06-29,2374
2016-06-30,2621
2016-07-01,2046
2016-07-02,1558
2016-07-03,2552
2016-07-04,2064
2016-07-05,2334
2016-07-06,1888
2016-07-07,1678
2016-07-08,1654
2016-07-09,1427
2016-07-10,2116
2016-07-11,2981
2016-07-12,2876
2016-07-13,1800
2016-07-14,1519
2016-07-15,1118
2016-07-16,1036
2016-07-17,1626
2016-07-18,1244
2016-07-19,1177
2016-07-20,1221
2016-07-21,1175
2016-07-22,1264
2016-07-23,1104
2016-07-24,1658
2016-07-25,1991
2016-07-26,1833
2016-07-27,2272
2016-07-28,2004
2016-07-29,1971
2016-07-30,2040
2016-07-31,3023
2016-08-01,2819
2016-08-02,3076
2016-08-03,2097
2016-08-04,1659
2016-08-05,1359
2016-08-06,1201
2016-08-07,2094
2016-08-08,2046
2016-08-09,2009
2016-08-10,2486
2016-08-11,3070
2016-08-12,2225
2016-08-13,2104
2016-08-14,2635
2016-08-15,2533
2016-08-16,2454
2016-08-17,2182
2016-08-18,2099
2016-08-19,1832
2016-08-20,2314
2016-08-21,5732
2016-08-22,4490
2016-08-23,3580
2016-08-24,3387
2016-08-25,1945
2016-08-26,1776
2016-08-27,1451
2016-08-28,3069
2016-08-29,2911
2016-08-30,2358
2016-08-31,2446
2016-09-01,2237
2016-09-02,1892
2016-09-03,1666
2016-09-04,4061
2016-09-05,2516
2016-09-06,2270
2016-09-07,2183
2016-09-08,1682
2016-09-09,1566
2016-09-10,1331
2016-09-11,3116
2016-09-12,2399
2016-09-13,1932
2016-09-14,2094
2016-09-15,1720
2016-09-16,2066
2016-09-17,2270
2016-09-18,4178
2016-09-19,3857
2016-09-20,3079
2016-09-21,2122
2016-09-22,1841
2016-09-23,1560
2016-09-24,1538
2016-09-25,2510
2016-09-26,2642
2016-09-27,2406
2016-09-28,2693
2016-09-29,2675
2016-09-30,2570
2016-10-01,1966
2016-10-02,3920
2016-10-03,3220
2016-10-04,2566
2016-10-05,1983
2016-10-06,1808
2016-10-07,1558
2016-10-08,1561
2016-10-09,2850
2016-10-10,2569
2016-10-11,2028
2016-10-12,1823
2016-10-13,1520
2016-10-14,1540
2016-10-15,1692
2016-10-16,2254
2016-10-17,2171
2016-10-18,2337
2016-10-19,2635
2016-10-20,2793
2016-10-21,2251
2016-10-22,2413
2016-10-23,3893
2016-10-24,4044
2016-10-25,3911
2016-10-26,3018
2016-10-27,2393
2016-10-28,2687
2016-10-29,2696
2016-10-30,5477
2016-10-31,4710
2016-11-01,2025
2016-11-02,1863
2016-11-03,1622
2016-11-04,1705
2016-11-05,1672
2016-11-06,3852
2016-11-07,2793
2016-11-08,2882
2016-11-09,3363
2016-11-10,2881
2016-11-11,1793
2016-11-12,1566
2016-11-13,2990
2016-11-14,2464
2016-11-15,2511
2016-11-16,2769
2016-11-17,2844
2016-11-18,1632
2016-11-19,1841
2016-11-20,3988
2016-11-21,2325
2016-11-22,2602
2016-11-23,2824
2016-11-24,2279
2016-11-25,2137
2016-11-26,2256
2016-11-27,4174
2016-11-28,4277
2016-11-29,1938
2016-11-30,1854
2016-12-01,1535
2016-12-02,1421
2016-12-03,1193
2016-12-04,2356
2016-12-05,2281
2016-12-06,2016
2016-12-07,2365
2016-12-08,2113
2016-12-09,1975
2016-12-10,1793
2016-12-11,3325
2016-12-12,3057
2016-12-13,3444
2016-12-14,3331
2016-12-15,2914
2016-12-16,2835
2016-12-17,2884
2016-12-18,5991
2016-12-19,5480
2016-12-20,1802
2016-12-21,1019
2016-12-22,859
2016-12-23,727
2016-12-24,629
2016-12-25,566
2016-12-26,1090
2016-12-27,1864
2016-12-28,2347
2016-12-29,2363
2016-12-30,1917
2016-12-31,1599
2017-01-01,2068
2017-01-02,3198
2017-01-03,3031
2017-01-04,2863
2017-01-05,2701
2017-01-06,2546
2017-01-07,3609
2017-01-08,4993
